timestamp_procesado,timestamp_lectura_csv,ruta_pasajero,tiempo_total_estimado_desde_entrada_min
2026-05-16 11:23:39,2026-05-16 11:50:18,bagdrop_seguridad_embarque,22.6
2026-05-16 11:23:39,2026-05-16 11:50:18,directo_seguridad_pasaportes_embarque,20.1
2026-05-16 11:23:39,2026-05-16 11:50:18,directo_seguridad_embarque,18.1
2026-05-16 11:23:42,2026-05-16 11:51:18,checkin_seguridad_pasaportes_embarque,31.6
2026-05-16 11:23:42,2026-05-16 11:51:18,checkin_seguridad_embarque,29.6
2026-05-16 11:23:42,2026-05-16 11:51:18,bagdrop_seguridad_pasaportes_embarque,25.85
2026-05-16 11:23:42,2026-05-16 11:51:18,bagdrop_seguridad_embarque,23.85
2026-05-16 11:23:42,2026-05-16 11:51:18,directo_seguridad_pasaportes_embarque,21.1
2026-05-16 11:23:42,2026-05-16 11:51:18,directo_seguridad_embarque,19.1
2026-05-16 11:23:45,2026-05-16 11:52:18,checkin_seguridad_pasaportes_embarque,33.97
2026-05-16 11:23:45,2026-05-16 11:52:18,checkin_seguridad_embarque,31.97
2026-05-16 11:23:45,2026-05-16 11:52:18,bagdrop_seguridad_pasaportes_embarque,28.05
2026-05-16 11:23:45,2026-05-16 11:52:18,bagdrop_seguridad_embarque,26.05
2026-05-16 11:23:45,2026-05-16 11:52:18,directo_seguridad_pasaportes_embarque,22.3
2026-05-16 11:23:45,2026-05-16 11:52:18,directo_seguridad_embarque,20.3
2026-05-16 11:23:48,2026-05-16 11:53:18,checkin_seguridad_pasaportes_embarque,36.04
2026-05-16 11:23:48,2026-05-16 11:53:18,checkin_seguridad_embarque,34.04
2026-05-16 11:23:48,2026-05-16 11:53:18,bagdrop_seguridad_pasaportes_embarque,29.75
2026-05-16 11:23:48,2026-05-16 11:53:18,bagdrop_seguridad_embarque,27.75
2026-05-16 11:23:48,2026-05-16 11:53:18,directo_seguridad_pasaportes_embarque,23.5
2026-05-16 11:23:48,2026-05-16 11:53:18,directo_seguridad_embarque,21.5
2026-05-16 11:23:51,2026-05-16 11:54:18,checkin_seguridad_pasaportes_embarque,38.7
2026-05-16 11:23:51,2026-05-16 11:54:18,checkin_seguridad_embarque,36.7
2026-05-16 11:23:51,2026-05-16 11:54:18,bagdrop_seguridad_pasaportes_embarque,31.95
2026-05-16 11:23:51,2026-05-16 11:54:18,bagdrop_seguridad_embarque,29.95
2026-05-16 11:23:51,2026-05-16 11:54:18,directo_seguridad_pasaportes_embarque,24.7
2026-05-16 11:23:51,2026-05-16 11:54:18,directo_seguridad_embarque,22.7
